author,Teks_bersih
@mabuksaham-willyamwen7774,laporan keuangan q  lainnya  east eastparc hotel   dooh era media sejahtera   pjaa pembangunan jaya ancol   bbca bank central asia   ipcc indonesia kendaraan terminal   btps bank btpn syariah   bbri bank rakyat indonesia   bnga bank cimb niaga   bjbr bank pembangunan daerah jawa barat dan banten   tpma trans power marine   sgro sampoerna agro   cnma nusantara sejahtera jaya   bmbl lavender bina cendikia   ptba bukit asam
@xcie69,jhon bahas emiten smkm sama lsip jhon
@dosibonbon,saya sudah pegang ptba lamamsih avg 
@adiputrapangestu5920,ga banyak lot nya gpp 
@dahamadiun1371,aman bang amanda
@ziletmuse5318,bahas mmix donk hehe
@jemmykosasih5467,ini presentasi direksi ptba john
@RiqikArdiansyah-gd9vo,semoga dpr nya besar  kata pak mentri harus gede 
@sugenglestari3749,mending mana ptba vs adro bro
@sugenglestari3749,gue baru sebulan ini beli saham yahh baru  jt an maaih coba gue pilih peruashaan besar yg sdh punya nama lalu tidur nelum pernah gue jual naik turun gue cuekin 
@i4mchristi4n,tx jon baru masuk di  dy  
@yuliaerfendi4672,mulai serok ptba mulai bln ini
@amuharki,jadi serok bln nov atau nunggu jan  feb jhon
@asfarrudin3172,udah minus  bang ttep santay bang tutup mata
@acilbutetshow,per hari ini  november  saya mines   awalnya niat dividen tahun kemaren eh kebablasan  tapi akhirnya belajar dan belajar terus  dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang 
@tegarzakyprasetyo8081,berapa lot nih
@desifatmanurtini6886,brp lot bg
@indrajaya6120,tim hold hadir boss
@ipungsaefulloh3496,ko wil sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede
@mabuksaham-willyamwen7774,klo pake duid panas biasanya kagak hoki mas hehe mending jangan hehe
@ipungsaefulloh3496,willyamwen saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk
@fadjarkusmanto719,jgn terlalu mabuk bang 
@ipungsaefulloh3496,gemes banget bang liat diskonan begitu tapi apa daya diemin aja 
@desifatmanurtini6886,lagi bang gua udh punya  lot di avg  nunggu down trend paling bawah
@bennytaruna8019,gak ada duit modal gw nyangkut di gems
@akhmadididi952,bahas saham totl bang laporan keuangan q naik
@nurliysiringoringo8913,harga ptba aku di  bang berarti hold aja ya bang menurut analisa abang hari ini thanks bang
@pdkudamas,hold tahan sampai bagi dividend biasa naik
@desifatmanurtini6886,semangat bang di hold aja sambil abg down gua baru mulai  lot di avg 
@aldyawliya3616,thanks koh
@ROMIPRADANA,bro willyam wen semangat terus memberikan pemahaman tentang investasi semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki
@elsyafahrizarisky5072,thank you koh wil 
@Ngobrolsaham,selamat pagi jhon  tlg kasi kita konten semangat buat kita deviden investing yang masih hold saham batubara sampai saat ini jhon untuk terus yakin hold 
@Syariah-zc5nj,suka banget dengar penjelasan nya om
@chonganchang4907,lumayan kamsia bro wen 
@user-zw4rf9hb2f,anjay harga saham langsung turun drastis
@suhendra2606,udah ada muatan  lot avrg masih di 
@Sigalinggingheri,bmri sdh keluar q bro will    mantap    
@kia-tc8us,tolong bahas wiim naik karna di goreng atau karna fundamental koh wil laporan q wiim sudah keluar
@drayla7013,sdh mulai nyicil ptba diharga  all in 
@TuraDoke-fb1ho,bahas powr bro lapkeu udh keluar laba naik 
@almas4764,bsde bang
@eddyhariyanto4246,q hexa sudah keluar tolong di bahas kak
@black-hole78,bang bahas sektor saham yang ada pengaruhnya ketika pemilu dong bang
@tedysuryanto579,ko will tolong bahas kalau mau invest di coal bagus dimana ptba itmg bssr indy tks ko
@trukmobilvideobis,bang gjtl gimana nih sudah cuan enaknya di jual apa di hold tolong di buatkan contenya  ane sudah subscribe thankss
@degaes,disaat orng takut sma goto disitu saya all in
@Kk-nl6mx,kamu keren
@degaes,nlmx see
@terizanorymada8738,baru nyerok  eh turun lagi  wait and see  nyerok lagi
@riekanich,bahas q antm donkk
@puputyustanto6218,lagi ambruk  ptba gass serok
@iwayanardiana8975,jhon gue ngg ada duet jhooonn mau serok 
@ekosumargono2962,bahas ggrm donk koh wensada anomalinet income naik bagusharga dibanting
@Garry-Stewart,beli ptba di  sekarang lagi loss tapi pengen lebih turun lagi biar bisa nambah
@riskisahputra4432,hr ini kita avg dian bro will
@itz_heyletsgo421,ptba  saat ini 
@adib_logika,ngantri di  udh match wkwk
@annassinagabfc4729,kkgi bang
@tommyajahputra,kkgi pssi turun q
@TopGlobalLegends,john bahas pssi johnpada panik q anjlok wkwkwkw
@soeboer_makmoer_farm,eps q cuma  gimna ini jhin 
@dadanroyoni7914,mantap bang wil semoga saja casj tersedia buat nyerok ptba
@amrizalkidsboy,tengss koh wil
@utamikaryanti2274,nunggu q bssr harga nya masih di jagain di  an
@oliviasafitri4400,ntn video lain katany tiap akhir th saham harga batu bara bakal naik jadi yang bener mana nih akhir th naik apa turun kecenderungannya
@lamhotsupanto9667,baru nambah muagan di bri saham adro dan ptba awal taun aja beli nya 
@ellysusia2800,jika menabung sampai  miliar kemudian dividen   yang artinya  juta pertahun sudah lebih dari cukup jon buat hidup semangat jon gaji umr nabung ptba
@Nurazmicha,saya jadi ikut semangat
@RatnawatiRatnawati-id6bj,mau mau mau
@sujikenyekkenyek5456,bhas kkgi jhonq seupil
@oldchef2839,thanks a lot john insightnya
@nunung456,selalu ada ketenangan dan optimis ketika menyimak podcast ko williem terimakasih ko williem semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera aamiin yaa robbal alaamiin 
@alifiblodot4537,bahan itmg dong bangsaham kesayangan
