author,teks
@mabuksaham-willyamwen7774,LAPORAN KEUANGAN Q3 2023 LAINNYA: 1. EAST (Eastparc Hotel): https://youtu.be/xMokJr4ZNz4 2. DOOH (Era Media Sejahtera): https://youtu.be/s1eNedcQirQ 3. PJAA (Pembangunan Jaya Ancol): https://youtu.be/QOgl09DkMvs 4. BBCA (Bank Central Asia): https://youtu.be/E75vyBUySmY 5. IPCC (Indonesia Kendaraan Terminal): https://youtu.be/8FnXYOTebfw 6. BTPS (Bank BTPN Syariah): https://youtu.be/ljGIvKKXTMI 7. BBRI (Bank Rakyat Indonesia): https://youtu.be/kVnVD5c8WWo 8. BNGA (Bank CIMB Niaga): https://youtu.be/QdZh_f_YDTY 9. BJBR (Bank Pembangunan Daerah Jawa Barat dan Banten): https://youtu.be/3b8ApsRrYXY 10. TPMA (Trans Power Marine): https://youtu.be/wTTjQ0d7YTU 11. SGRO (Sampoerna Agro): https://youtu.be/ofMterjybdM 12. CNMA (Nusantara Sejahtera Jaya): https://youtu.be/1SGPxdxWeSc 13. BMBL (Lavender Bina Cendikia): https://youtu.be/fspnxp9nXBY 14. PTBA (Bukit Asam): https://youtu.be/hC8YSP3rG4A
@xcie69,jhon bahas emiten smkm sama lsip jhon😊
@dosibonbon,Saya sudah pegang ptba lama..msih avg 4650
@adiputrapangestu5920,​@@dosibonbonkalo ga banyak lot nya gpp 😢
@dahamadiun1371,AMAN bang Amanda
@ziletmuse5318,Bahas mmix donk.. Hehe
@jemmykosasih5467,Ini presentasi direksi ptba john https://youtu.be/Xt7edwcHJFk?si=XRXYMRS45UEZcsjQ
@RiqikArdiansyah-gd9vo,"Semoga dpr nya besar , kata pak mentri harus gede 😂"
@sugenglestari3749,Mending mana PTBA vs ADRO bro
@sugenglestari3749,Gue baru sebulan ini beli saham ...yahh baru 40 jt an ...maaih coba2 ..gue pilih peruashaan besar yg sdh punya nama ...lalu tidur nelum pernah gue jual ...naik turun gue cuekin ...
@i4mchristi4n,tx Jon baru masuk di 2420 DY 18% 😂
@yuliaerfendi4672,Mulai serok2 ptba mulai Bln ini
@amuharki,"jadi serok bln nov atau nunggu jan , feb jhon?"
@asfarrudin3172,Udah minus 40% bang. Ttep santay bang😂. Tutup mata
@acilbutetshow,Per hari ini (7 November 2023) saya mines 23% . Awalnya niat dividen tahun kemaren eh kebablasan 😅 tapi akhirnya belajar dan belajar terus . Dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang 😅
@tegarzakyprasetyo8081,berapa lot nih
@desifatmanurtini6886,Brp lot BG?
@indrajaya6120,Tim hold hadir boss😊
@ipungsaefulloh3496,"ko wil, sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede?"
@mabuksaham-willyamwen7774,"Klo pake duid panas biasanya kagak hoki mas hehe, mending jangan hehe"
@ipungsaefulloh3496,@@mabuksaham-willyamwen7774 saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk
@fadjarkusmanto719,Jgn terlalu mabuk bang 😅
@ipungsaefulloh3496,"@@fadjarkusmanto719 gemes banget bang liat diskonan begitu, tapi apa daya diemin aja 😅"
@desifatmanurtini6886,​@@ipungsaefulloh3496cicil lagi bang gua udh punya 51 lot di AVG 2440 nunggu down trend paling bawah
@bennytaruna8019,gak ada duit😢 modal gw nyangkut di GEMS
@akhmadididi952,"Bahas saham TOTL bang, laporan keuangan Q3 naik....."
@nurliysiringoringo8913,Harga ptba aku di 3700 bang berarti hold Aja ya Bang menurut Analisa Abang hari ini thanks bang
@pdkudamas,Hold tahan sampai bagi dividend. Biasa naik.
@desifatmanurtini6886,"Semangat bang, di hold aja sambil ABG down. Gua baru mulai 51 lot di AVG 2440"
@aldyawliya3616,thanks koh
@ROMIPRADANA,"Bro willyam wen semangat terus memberikan pemahaman tentang investasi, Semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki"
@elsyafahrizarisky5072,thank you koh wil 🎉
@Ngobrolsaham,"selamat pagi Jhon , tlg kasi kita konten semangat buat kita deviden investing yang masih hold saham batubara sampai saat ini jhOn untuk terus yakin Hold 😁"
@Syariah-zc5nj,suka banget dengar penjelasan nya om
@chonganchang4907,Lumayan. Kamsia bro Wen 👍
@user-zw4rf9hb2f,anjay harga saham langsung turun drastis
@suhendra2606,Udah ada muatan 24 lot Avrg masih di 2774😢
@Sigalinggingheri,BMRI Sdh keluar Q3 bro Will . . . Mantap👍 . . . 558
